,Quadrant,Teilquadrant,Ortsnummer,Ortsbuchstaben,Ortsname_cor,Kreis,Land,I,II,III,IV,X12,RES_1st_run,Ortsname_old,Stadt oder Gemeinde oder Landkreis
16,111,5,6,au,Rhoden,der Twiste,Hessen-Nassau,j,j,j,j,NA,not detected,Rhoden-Walbeck,
18,111,5,10,cr,Calenberg,Warburg,Westfalen,j,j,j,NA,NA,not detected,Kalenberg,
31,111,10,8,ao,Canstein,Brilon,Westfalen,j,j,j,j,NA,not detected,Kanstein,
34,111,10,20,ao,Mengeringhausen,der Twiste,Hessen-Nassau,j,j,j,j,NA,not detected,Mengeringhausen,
52,111,22,1,du,Nieder-Ense,des Eisenbergs,Hessen-Nassau,j,j,j,j,NA,not detected,Nieder Ense,
85,111,30,24,bu,Udenborn,Fritzlar-Homberg,Hessen-Nassau,j,j,NA,NA,NA,not detected,Adenborn,
88,111,33,9,b,Frankenberg,Frankenberg,Hessen-Nassau,j,j,j,j,NA,not detected,Frankenberg,Eder
92,111,34,18,br,Halgehausen ,Frankenberg,Hessen-Nassau,j,j,j,j,NA,not detected,Halgehausen,Haina
96,111,35,15,cr,Oberurff-Schiffelborn,Fritzlar-Homberg,Hessen-Nassau,j,j,j,j,NA,not detected,Oberurff,
99,111,36,3,b,Grossenenglis,Fritzlar-Homberg,Hessen-Nassau,NA,NA,NA,j,NA,not detected,Großenenglis,
105,112,2,25,c,Hann. Münden,NA,Hannover,j,j,j,j,NA,not detected,Hannoversch Münden,
114,112,4,3,b,Klostergut Reinshof,Göttingen,Hannover,j,j,NA,NA,NA,not detected,Reinshof,
121,112,4,23,c,Friedland,Göttingen,Hannover,j,j,j,j,NA,not detected,Friedland an der Leine,
123,112,5,2,cr,Benniehausen ,Göttingen,Hannover,j,j,j,j,NA,not detected,Benniehausen,Gleichen
129,112,5,19,da,Weißenborn ,Göttingen,Hannover,j,j,j,j,NA,not detected,Weißenborn,Werra-Meißner
133,112,6,3,bl,Gerblingerode ,Duderstadt,Hannover,j,j,j,j,NA,not detected,Gerblingerode,Duderstadt
134,112,6,5,cl,Wehnde ,Worbis,Pr. Sachsen,j,j,j,j,NA,not detected,Wehnde,Eichsfeld
135,112,6,9,dr,Tastungen ,Worbis,Pr. Sachsen,j,j,j,j,NA,not detected,Tastungen,Eichsfeld
138,112,6,21,bd,Reinholterode,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Rheinholterode,
141,112,7,2,br,Calden,Hofgeismar,Hessen-Nassau,j,j,j,j,NA,not detected,Kalden,
155,112,10,8,br,Niedergandern ,Göttingen,Hannover,j,j,j,j,NA,not detected,Niedergandern,Friedland
159,112,11,3,ao,Streitholz ,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Streitholz,Hohes Kreuz
160,112,11,3,du,Mengelrode ,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Mengelrode,Hohes Kreuz
162,112,11,13,bl,Rengelrode,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Rengelrode,Heilbad Heiligenstadt
163,112,11,14,b,Heilbad Heiligenstadt,Heiligenstadt,Pr. Sachsen,j,j,NA,NA,NA,not detected,Heiligenstadt,
164,112,11,18,al,Uder ,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Uder,Eichsfeld
166,112,12,6,b,Bodenrode-Westhausen,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Westhausen,
167,112,12,7,ao,Bodenrode ,Worbis,Pr. Sachsen,j,NA,j,j,NA,not detected,Bodenrode,Bodenrode-Westhausen
168,112,12,7,br,Wingerode ,Worbis,Pr. Sachsen,j,j,j,j,NA,not detected,Wingerode,Eichsfeld
169,112,12,10,co,Leinefelde-Worbis,Worbis,Pr. Sachsen,j,j,j,j,NA,not detected,Leinefelde,
178,112,15,5,cl,Roßbach ,Witzenhausen,Hessen-Nassau,NA,j,NA,NA,NA,not detected,Roßbach,Witzenhausen
181,112,15,24,au,Großalmerode ,Witzenhausen,Hessen-Nassau,j,j,j,j,NA,not detected,Großalmerode,Witzenhausen
182,112,16,3,a,Werleshausen,Heiligenstadt,Pr. Sachsen,j,NA,j,j,NA,not detected,Werleshausen,Witzenhausen
185,112,16,14,br,Wahlhausen ,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Wahlhausen,Eichsfeld
191,112,17,24,ab,Lehna ,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Lehna,Schimberg
195,112,18,22,cu,Großbartloff ,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Großbartloff,Eichsfeld
