"","X","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","X12","RES_1st_run","Ortsname_old","Stadt.oder.Gemeinde.oder.Landkreis","x","y","res"
"1",16,"111",5,6,"au","Rhoden","der Twiste","Hessen-Nassau","j","j","j","j",NA,"not detected","Rhoden-Walbeck","",500715.347010395,5702615.52579065,"detected"
"5",52,"111",22,1,"du","Nieder-Ense","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,"not detected","Nieder Ense","",490344.211095698,5675733.85300584,"detected"
"6",85,"111",30,24,"bu","Udenborn","Fritzlar-Homberg","Hessen-Nassau","j","j",NA,NA,NA,"not detected","Adenborn","",521156.402843069,5660065.75665067,"detected"
"9",96,"111",35,15,"cr","Oberurff-Schiffelborn","Fritzlar-Homberg","Hessen-Nassau","j","j","j","j",NA,"not detected","Oberurff","",511358.819601105,5653773.99963644,"detected"
"10",99,"111",36,3,"b","Grossenenglis","Fritzlar-Homberg","Hessen-Nassau",NA,NA,NA,"j",NA,"not detected","Großenenglis","",519298.903606508,5658635.02426593,"detected"
"20",141,"112",7,2,"br","Calden","Hofgeismar","Hessen-Nassau","j","j","j","j",NA,"not detected","Kalden","",528140.114706522,5695408.73503867,"detected"
"51",347,"125",8,25,"ar","Caldern","Marburg","Hessen-Nassau","j","j","j","j",NA,"not detected","Kaldern","",476372.231070821,5632530.99008626,"detected"
"54",381,"125",16,24,"d","Nieder-Ofleiden","Alsfeld","Hessen","j","j","j","j",NA,"not detected","Nieder Ofleiden","",497904.975516391,5622503.11857361,"detected"
"60",417,"125",23,17,"b","Nieder-Gemünden","Alsfeld","Hessen","j","j","j","j",NA,"not detected","Nieder Gemünden","",504061.224196387,5615810.12559266,"detected"
"61",422,"125",24,17,"bl","Nieder-Breidenbach","Alsfeld","Hessen","j","j","j","j",NA,"not detected","Nieder Breidenbach","",515898.937561411,5615788.23555762,"detected"
"64",440,"125",27,13,"cr","Alten-Buseck","Gießen","Hessen","j","j","j","j",NA,"not detected","Alten Buseck","",482315.571936377,5607854.41061375,"detected"
"67",461,"125",29,6,"bo","Nieder-Ohmen","Alsfeld","Hessen","j","j","j","j",NA,"not detected","Nieder Ohmen","",502248.291630111,5610549.39122685,"detected"
"68",465,"125",29,19,"ao","Ober-Ohmen","Alsfeld","Hessen","j","j","j","j",NA,"not detected","Ober Ohmen","",508305.509574342,5607264.06259426,"detected"
"69",466,"125",29,20,"cl","Unter-Seibertenrod","Schotten","Hessen","j","j","j","j",NA,"not detected","Unter Seibertenrod","",510401.887667684,5606100.23630061,"detected"
"70",468,"125",29,25,"co","Ober-Seibertenrod","Schotten","Hessen","j",NA,NA,NA,NA,"not detected","Ober Seibertenrod","",511375.483970646,5604178.55739307,"detected"
"71",482,"125",32,10,"au","Kleinlinden","Gießen","Hessen","j","j","j","j",NA,"not detected","Klein Linden","",475087.441202424,5600689.26008435,"detected"
"73",499,"125",34,12,"dr","Ober-Bessingen","Gießen","Hessen","j","j","j",NA,NA,"not detected","Ober Bessingen","",493168.654011313,5598421.8661784,"detected"
"80",547,"126",10,8,"cr","Herfa","Hersfeld","Hessen-Nassau",NA,NA,"j",NA,NA,"not detected","Hersa","",564972.258109452,5637676.48284138,"detected"
"87",587,"126",20,3,"a","Ober-Wegfurth","Lauterbach","Hessen","j",NA,NA,NA,NA,"not detected","Ober Wegfurth","",540897.386561476,5621928.99840384,"detected"
"118",784,"138",35,19,"au","Eltville am Rhein","Rheingau","Hessen-Nassau","j","j","j",NA,NA,"not detected","Eltville","",436736.376947821,5541739.51766759,"detected"
"119",791,"138",36,24,"au","Mainz-Kastel","Mainz","Hessen",NA,"j","j","j",NA,"not detected","Kastel","",448796.498568064,5539876.00698612,"detected"
"120",798,"139",2,5,"ab","Langgöns","Friedberg","Hessen","j","j","j","j",NA,"not detected","Lang Göns","",476133.778384359,5593990.36634129,"detected"
"121",800,"139",2,10,"c","Kirch-Göns","Friedberg","Hessen","j","j",NA,NA,NA,"not detected","Kirchgöns","",475410.783890731,5591047.00037659,"detected"
"122",801,"139",2,15,"a","Pohl-Göns","Friedberg","Hessen","j","j","j","j",NA,"not detected","Pohlgöns","",475228.776026655,5590069.33111327,"detected"
"123",802,"139",2,17,"b","Cleeberg","Wetzlar","Hessen-Nassau","j","j","j","j",NA,"not detected","Kleeberg","",468810.23948287,5588535.51734562,"detected"
"124",809,"139",3,13,"a","Ober-Hörgern","Gießen","Hessen","j","j","j",NA,NA,"not detected","Ober Hörgern","",482305.878840478,5590229.86551542,"detected"
