"","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","X12","x","y","res"
"6","98",36,20,"a","Lamerden","Hofgeismar","Hessen-Nassau",NA,"j",NA,NA,NA,522684.225833655,5708549.3412798,"detected"
"7","99",31,8,"ao","Stammen","Hofgeismar","Hessen-Nassau","j","j","j",NA,NA,528911.871250049,5712551.440084,"detected"
"8","99",31,11,"d","Eberschütz","Hofgeismar","Hessen-Nassau",NA,NA,NA,"j",NA,524987.255189732,5709983.72135244,"detected"
"9","99",31,18,"c","Schöneberg","Hofgeismar","Hessen-Nassau",NA,"j","j","j",NA,529050.779189587,5707658.68197216,"detected"
"13","111",4,18,"dr","Kohlgrund","der Twiste","Hessen-Nassau","j","j","j","j",NA,496107.385272166,5698235.19149249,"detected"
"20","111",5,17,"a","Ammenhausen","der Twiste","Hessen-Nassau","j","j","j","j",NA,503481.724360357,5699369.25886381,"detected"
"21","111",5,22,"ab","Herbsen","der Twiste","Hessen-Nassau","j","j","j","j",NA,503865.316619124,5697567.89815438,"detected"
"22","111",6,3,"cu","Haueda","Hofgeismar","Hessen-Nassau","j","j","j","j",NA,517315.654461445,5704246.43164932,"detected"
"24","111",6,14,"bu","Niedermeiser","Hofgeismar","Hessen-Nassau",NA,"j","j","j",NA,521335.657889145,5700936.40187686,"detected"
"25","111",6,17,"b","Oberlistingen","Wolfhagen","Hessen-Nassau","j","j","j",NA,NA,516394.944521487,5699094.18814398,"detected"
"26","111",6,20,"cu","Westuffeln","Hofgeismar","Hessen-Nassau",NA,"j",NA,NA,NA,522682.148333144,5698117.38643671,"detected"
"28","111",9,18,"bu","Rhenegge","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,484048.458925067,5689750.94416289,"detected"
"29","111",9,19,"b","Adorf","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,486381.464718692,5689933.24984368,"detected"
"30","111",10,7,"du","Vasbeck","der Twiste","Hessen-Nassau","j","j","j","j",NA,492519.285502617,5692589.63755377,"detected"
