"","ID","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","comment","RES_1st_run","Ortsname_old","Stadt.oder.Gemeinde.oder.Landkreis","x","y","res","prev","x_new","y_new","cor"
"837",1,"98",36,2,"dr","Borgentreich","Warburg","Westfalen","j","j","j","j",NA,"detected","","",516661.492091561,5713163.67781573,"detected","",516661.4921,5713163.678,""
"719",2,"98",36,10,"a","Muddenhagen","Warburg","Westfalen","j","j","j","j",NA,"detected","","",522619.943894953,5712074.60048547,"detected","",522619.9439,5712074.6,""
"779",3,"98",36,14,"cl","Körbecke","Warburg","Westfalen","j","j",NA,NA,NA,"detected","","",519434.744146134,5709303.24690738,"detected","",519434.7441,5709303.247,""
"838",4,"98",36,16,"cl","Dössel","Warburg","Westfalen","j",NA,NA,NA,NA,"detected","","",511620.649865076,5708055.98295859,"detected","",511620.6499,5708055.983,""
"780",5,"98",36,18,"co","Rösebeck","Warburg","Westfalen","j","j","j","j",NA,"detected","","",517115.4904166,5708015.9245872,"detected","",517115.4904,5708015.925,""
"71",6,"98",36,20,"a","Lamerden","Hofgeismar","Hessen-Nassau",NA,"j",NA,NA,NA,"detected","","",522684.225833655,5708549.3412798,"detected","",522684.2258,5708549.341,""
"72",7,"99",31,8,"ao","Stammen","Hofgeismar","Hessen-Nassau","j","j","j",NA,NA,"detected","","",528911.871250049,5712551.440084,"detected","",528911.8713,5712551.44,""
"73",8,"99",31,11,"d","Eberschütz","Hofgeismar","Hessen-Nassau",NA,NA,NA,"j",NA,"detected","","",524987.255189732,5709983.72135244,"detected","",524987.2552,5709983.721,""
"74",9,"99",31,18,"c","Schöneberg","Hofgeismar","Hessen-Nassau",NA,"j","j","j",NA,"detected","","",529050.779189587,5707658.68197216,"detected","",529050.7792,5707658.682,""
"720",10,"111",4,2,"br","Westheim","Büren","Westfalen","j","j","j",NA,NA,"detected","","",493502.100849408,5704754.91908659,"detected","",493502.1008,5704754.919,""
"805",11,"111",4,11,"cr","Obermarsberg","Brilon","Westfalen","j","j","j","j",NA,"detected","","",489791.515172117,5699578.48489074,"detected","",489791.5152,5699578.485,""
"1131",12,"111",4,14,"cl","Neudorf","der Twiste","Hessen-Nassau","j","j","j","j",NA,"multiple entires detected","","",999,999,"multiple entires detected","",496233.9365,5700170.191,"found"
"75",13,"111",4,18,"dr","Kohlgrund","der Twiste","Hessen-Nassau","j","j","j","j",NA,"detected","","",496107.385272166,5698235.19149249,"detected","",496107.3853,5698235.191,""
"721",14,"111",5,3,"du","Germete","Warburg","Westfalen","j","j",NA,NA,NA,"detected","","",506992.187062605,5703743.53398536,"detected","",506992.1871,5703743.534,""
"806",15,"111",5,4,"dr","Warburg","Warburg","Westfalen","j","j","j",NA,NA,"detected","","",509900.572157996,5704248.82577614,"detected","",509900.5722,5704248.826,""
"1",16,"111",5,6,"au","Rhoden","der Twiste","Hessen-Nassau","j","j","j","j",NA,"not detected","Rhoden-Walbeck","",500715.347010395,5702615.52579065,"detected","",500715.347,5702615.526,""
"781",17,"111",5,9,"do","Wormeln","Warburg","Westfalen","j","j","j","j",NA,"detected","","",509306.983418047,5702334.83622359,"detected","",509306.9834,5702334.836,""
"714",18,"111",5,10,"cr","Calenberg","Warburg","Westfalen","j","j","j",NA,NA,"not detected","Kalenberg","",511510.193304266,5701683.18644444,"detected","",511510.1933,5701683.186,""
"722",19,"111",5,14,"cl","Welda","Warburg","Westfalen","j","j","j","j",NA,"detected","","",507747.477541944,5700208.05698829,"detected","",507747.4775,5700208.057,""
"76",20,"111",5,17,"a","Ammenhausen","der Twiste","Hessen-Nassau","j","j","j","j",NA,"detected","","",503481.724360357,5699369.25886381,"detected","",503481.7244,5699369.259,""
"77",21,"111",5,22,"ab","Herbsen","der Twiste","Hessen-Nassau","j","j","j","j",NA,"detected","","",503865.316619124,5697567.89815438,"detected","",503865.3166,5697567.898,""
"78",22,"111",6,3,"cu","Haueda","Hofgeismar","Hessen-Nassau","j","j","j","j",NA,"detected","","",517315.654461445,5704246.43164932,"detected","",517315.6545,5704246.432,""
"723",23,"111",6,6,"dr","Herlinghausen","Warburg","Westfalen","j","j","j","j",NA,"detected","","",514384.96480398,5702057.50643262,"detected","",514384.9648,5702057.506,""
"79",24,"111",6,14,"bu","Niedermeiser","Hofgeismar","Hessen-Nassau",NA,"j","j","j",NA,"detected","","",521335.657889145,5700936.40187686,"detected","",521335.6579,5700936.402,""
"80",25,"111",6,17,"b","Oberlistingen","Wolfhagen","Hessen-Nassau","j","j","j",NA,NA,"detected","","",516394.944521487,5699094.18814398,"detected","",516394.9445,5699094.188,""
"81",26,"111",6,20,"cu","Westuffeln","Hofgeismar","Hessen-Nassau",NA,"j",NA,NA,NA,"detected","","",522682.148333144,5698117.38643671,"detected","",522682.1483,5698117.386,""
"782",27,"111",9,3,"au","Beringhausen","Brilon","Westfalen","j","j","j","j",NA,"detected","","",483251.572638709,5695158.40234525,"detected","",483251.5726,5695158.402,""
"82",28,"111",9,18,"bu","Rhenegge","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,"detected","","",484048.458925067,5689750.94416289,"detected","",484048.4589,5689750.944,""
"83",29,"111",9,19,"b","Adorf","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,"detected","","",486381.464718692,5689933.24984368,"detected","",486381.4647,5689933.25,""
"84",30,"111",10,7,"du","Vasbeck","der Twiste","Hessen-Nassau","j","j","j","j",NA,"detected","","",492519.285502617,5692589.63755377,"detected","",492519.2855,5692589.638,""
"715",31,"111",10,8,"ao","Canstein","Brilon","Westfalen","j","j","j","j",NA,"not detected","Kanstein","",494288.60217682,5694177.67318404,"detected","",494288.6022,5694177.673,""
"85",32,"111",10,9,"c","Massenhausen","der Twiste","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",496541.933778409,5693263.71441801,"detected","",496541.9338,5693263.714,""
"86",33,"111",10,17,"d","Gembeck","der Twiste","Hessen-Nassau","j","j","j","j",NA,"detected","","",492778.971396811,5689230.69062269,"detected","",492778.9714,5689230.691,""
"978",34,"111",10,20,"ao","Mengeringhausen","der Twiste","Hessen-Nassau","j","j","j","j",NA,"not detected","Mengeringhausen","",999,999,"not detected","",999,999,""
"87",35,"111",10,24,"d","Twiste","der Twiste","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",497624.581465969,5687279.9571166,"detected","",497624.5815,5687279.957,""
"88",36,"111",11,3,"cl","Külte","der Twiste","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",505091.924213473,5694510.6516549,"detected","",505091.9242,5694510.652,""
"89",37,"111",11,14,"cl","Lütersheim","der Twiste","Hessen-Nassau",NA,"j","j","j",NA,"detected","","",507921.44877622,5691088.95126182,"detected","",507921.4488,5691088.951,""
"90",38,"111",11,15,"al","Ehringen","Wolfhagen","Hessen-Nassau","j","j","j","j",NA,"detected","","",510237.247531105,5692171.8196217,"detected","",510237.2475,5692171.82,""
"91",39,"111",11,17,"cu","Braunsen","der Twiste","Hessen-Nassau","j","j","j","j",NA,"detected","","",502660.226999877,5688814.80055214,"detected","",502660.227,5688814.801,""
"92",40,"111",11,19,"do","Viesebeck","Wolfhagen","Hessen-Nassau",NA,"j","j","j",NA,"detected","","",509281.381038412,5689678.86215849,"detected","",509281.381,5689678.862,""
"93",41,"111",11,23,"a","Landau","der Twiste","Hessen-Nassau","j","j","j","j",NA,"detected","","",505941.214455221,5687983.4834729,"detected","",505941.2145,5687983.483,""
