,Quadrant,Teilquadrant,Ortsnummer,Ortsbuchstaben,Ortsname,Kreis,Land,I,II,III,IV,X12,RES_1st_run,Ortsname_old,Stadt.oder.Gemeinde.oder.Landkreis,x,y,res,Cor.Kammers
34,111,10,20,ao,Mengeringhausen,der Twiste,Hessen-Nassau,j,j,j,j,NA,not detected,Mengeringhausen,Bad Arolsen,499254.55,5690553.40,not detected,f
88,111,33,9,b,Frankenberg,Frankenberg,Hessen-Nassau,j,j,j,j,NA,not detected,Frankenberg,Eder,486289.65,5656194.75,not detected,f
92,111,34,18,br,Halgehausen,Frankenberg,Hessen-Nassau,j,j,j,j,NA,not detected,Halgehausen,Haina,495781.30,5653084.47,not detected,f
114,112,4,3,b,Klostergut Reinshof,Göttingen,Hannover,j,j,NA,NA,NA,not detected,Reinshof,Friedland,564579.85,5705491.61,not detected,f
123,112,5,2,cr,Benniehausen,Göttingen,Hannover,j,j,j,j,NA,not detected,Benniehausen,Gleichen,572996.60,5704579.44,not detected,f
129,112,5,19,da,Weißenborn,Göttingen,Hannover,j,j,j,j,NA,not detected,Weißenborn,Gleichen,578360.92,5699388.34,not detected,f
133,112,6,3,bl,Gerblingerode,Duderstadt,Hannover,j,j,j,j,NA,not detected,Gerblingerode,Duderstadt,587832.16,5705505.49,not detected,f
134,112,6,5,cl,Wehnde,Worbis,Pr. Sachsen,j,j,j,j,NA,not detected,Wehnde,Eichsfeld,591104.68,5704176.04,not detected,f
135,112,6,9,dr,Tastungen,Worbis,Pr. Sachsen,j,j,j,j,NA,not detected,Tastungen,Eichsfeld,590983.20,5702674.86,not detected,f
155,112,10,8,br,Niedergandern,Göttingen,Hannover,j,j,j,j,NA,not detected,Niedergandern,Friedland,565200.36,5694063.11,not detected,f
159,112,11,3,ao,Streitholz,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Streitholz,Hohes Kreuz,575875.64,5696494.94,not detected,f
160,112,11,3,du,Mengelrode,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Mengelrode,Hohes Kreuz,576548.27,5694903.92,not detected,f
162,112,11,13,bl,Rengelrode,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Rengelrode,Heilbad Heiligenstadt,576060.36,5692611.07,not detected,f
164,112,11,18,al,Uder,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Uder,Eichsfeld,574798.59,5690703.65,not detected,f
166,112,12,6,b,Bodenrode-Westhausen,Heiligenstadt,Pr. Sachsen,j,j,j,j,NA,not detected,Bodenrode-Westhausen,Eichsfeld,582837.69,5694181.84,not detected,f
