ID,Quadrant,Teilquadrant,Ortsnummer,Ortsbuchstaben,Ortsname,Kreis,Land,I,II,III,IV,comment,RES_1st_run,Ortsname_old,Stadt.oder.Gemeinde.oder.Landkreis,x,y,res,prev,x_new,y_new,cor,cor.Lvl.4,final_check
481,125,32,9,cu,Allendorf,Gie<df>en,Hessen,j,NA,NA,NA,NA,multiple entires detected,,,999,999,not an unique name,prev. not unique,999,999,"there are at least “Allendorf a.d. Lahn” (bei Gießen), “Allendorf (Lumda)” (Kreis Gießen, näher an Marburg), “Allendorf (Eder)” (Kreis Frankenberg)",not found,still not found
490,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,not found,ID
896,139,15,21,c,Holzhausen,Friedberg,Hessen,j,j,j,j,NA,multiple entires detected,,,999,999,not an unique name,prev. not unique,999,999,not found,not found,still not found
1169,151,21,2,ar,Allertshofen,Dieburg,Hessen,j,j,j,NA,NA,detected,,,999,999,not an unique name,prev. not unique,479588,5510552,no such Wenker-place,not found,cleanded_ was false decrypted
1269,138,33,3,al,,NA,NA,NA,NA,NA,NA,NA,not detected,NA,,99999,99999,not detected,NANA,999,999,NANA,NANA,handsome_NA_unklarerort.
1271,138,33,8,du,,NA,NA,NA,NA,NA,NA,NA,not detected,unklarer Ort,,99999,99999,not detected,NANA,999,999,NANA,NANA,999
1267,151,36,23,d,Oberneudorf,AB. Buchen,Baden,j,j,j,j,NA,not detected,Oberneudorf,Buchen,99999,99999,not detected,NANA,519364.84,5483109.55,f,,999
1259,151,35,24,dl,Reisenbach,AB. Buchen,Baden,NA,j,j,j,NA,detected,,,508985.1572,5483426.222,detected,,508985.1572,5483426.222,,,999
1252,151,33,22,b,Oberflockenbach,AB. Weinheim,Baden,j,NA,j,j,NA,not detected,Oberflockenbach,Weinheim,99999,99999,not detected,NANA,480532.53,5484075.48,f,,999
1239,151,31,21,bu,Studernheim,BA. Frankenthal,RegBez. Pfalz (Bayern),j,j,j,NA,NA,detected,,,453877.3625,5484191.952,detected,,453877.3625,5484191.952,,,999
1253,151,33,22,c,Rittenweier,AB. Weinheim,Baden,j,j,j,j,NA,not detected,Rittenweiher,,478593.8054,5484283.528,detected,,478593.8054,5484283.528,,,999
1268,151,36,24,a,Hollerbach,AB. Buchen,Baden,j,NA,NA,NA,NA,not detected,Hollerbach,Buchen,99999,99999,not detected,NANA,520545.87,5484383.72,f,,999
1241,151,32,21,a,K<e4>fertal,AB. Mannheim,Baden,j,j,j,j,NA,not detected,Mannheim-K<e4>fertal,Mannheim,465043.4218,5484553.671,detected,,465043.4218,5484553.671,,,999
1258,151,35,21,a,Hebstahl,Erbach,Hessen,j,j,j,NA,NA,detected,,,500767.3061,5484563.979,detected,,500767.3061,5484563.979,,,999
1251,151,33,16,c,Hohensachsen,AB. Weinheim,Baden,j,j,j,j,NA,detected,,,476064.2033,5485227.931,detected,,476064.2033,5485227.931,,,999
1238,151,31,17,dr,Oppau,BA. Frankenthal,RegBez. Pfalz (Bayern),j,j,j,j,NA,detected,,,456878.6756,5485612.752,detected,,456878.6756,5485612.752,,,999
1266,151,36,20,c,Buchen,AB. Buchen,Baden,j,NA,NA,NA,NA,detected,,,428338.3896,5643347.705,detected,,523523.35,5485774.84,false detected,found,999
1256,151,34,19,b,Gammelsbach,Erbach,Hessen,j,j,NA,NA,NA,detected,,,497495.964,5485798.546,detected,,497495.964,5485798.546,,,999
1265,151,36,19,a,Unterneudorf,AB. Buchen,Baden,j,NA,NA,NA,NA,not detected,Unterneudorf,Buchen,99999,99999,not detected,NANA,519837.22,5486227.03,f,,999
1255,151,34,16,do,Unter-Sch<f6>nmattenwag,Heppenheim,Hessen,j,NA,NA,NA,NA,not detected,Unter Sch<f6>nmattenwag,,490216.2029,5486229.219,detected,,490216.2029,5486229.219,,,999
1248,151,33,12,du,Unter-Flockenbach,Heppenheim,Hessen,NA,j,j,j,NA,not detected,Unter-Flockenbach,Gorxheimertal,99999,99999,not detected,NANA,480609,5486499.94,f,,999
1262,151,36,12,cu,Mudau,AB. Buchen,Baden,j,j,j,j,NA,detected,,,514913.0382,5486774.486,detected,,514913.0382,5486774.486,,,999
1264,151,36,15,ad,Hainstadt,AB. Buchen,Baden,j,NA,NA,j,NA,multiple entires detected,,,999,999,not an unique name,prev. not unique,523973.81,5487281.35,"not found (no Wenker-place, should be Hainstat (Buchen))",found,999
1240,151,32,13,cu,Viernheim,Heppenheim,Hessen,j,j,j,j,NA,not detected,Biernheim,,469402.845,5487395.872,detected,,469402.845,5487395.872,,,999
1257,151,35,15,c,Schlossau,AB. Buchen,Baden,j,j,j,NA,NA,detected,,,511018.8387,5487421.159,detected,,511018.8387,5487421.159,,,999
