ID	Quadrant	Teilquadrant	Ortsnummer	Ortsbuchstaben	Ortsname	Kreis	Land	I	II	III	IV	comment	RES_1st_run	Ortsname_old	Stadt.oder.Gemeinde.oder.Landkreis	x	y	res	prev	x_new	y_new	cor
136	112	6	11	d	Neuendorf	Worbis	Pr. Sachsen	j	j	j	j	NA	detected			546254.058228555	5542944.37482475	detected		583004.10	5701022.15	false detected
174	112	14	17	cl	Krumbach	Kassel	Hessen-Nassau	j	j	j	j	NA	multiple entires detected			999	999	multiple entires detected		537066.82	5681482.13	not found (all 3 entries donâ€™t lie in right quadrant)
242	112	31	17	ac	Kasdorf	Fritzlar-Homberg	Hessen-Nassau	j	j	j	j	NA	detected			413277.258752208	5562264.1022128	detected		525885.11	5652457.49	false detected
262	112	36	11	cr	Willershausen	Eschwege	Hessen-Nassau	NA	j	j	NA	NA	multiple entires detected			999	999	not an unique name	prev. not unique	582733.52	5654537.57	corrupted
318	125	1	11	a	Holzhausen	Wittgenstein	Westfalen	j	j	j	j	NA	multiple entires detected			999	999	not an unique name	prev. not unique	438952.68	5620735.25	false detected 2nd
336	125	6	3	d	Neuenhain	Fritzlar-Homberg	Hessen-Nassau	j	j	j	j	NA	detected			999	999	not an unique name	prev. not unique	517981.29	5648982.95	not found (maybe â€œNeuenhain (neuental)â€)
345	125	8	13	co	Buchenau	Biedenkopf	Hessen-Nassau	j	j	j	j	NA	detected			554128.544438824	5625808.30915998	detected		471673.92	5635961.93	false detected
358	125	11	21	cr	Allendorf	Marburg	Hessen-Nassau	NA	NA	j	j	NA	multiple entires detected			999	999	not an unique name	prev. not unique	501423.91	5630014.85	there are at least â€œAllendorf a.d. Lahnâ€ (bei GieÃŸen), â€œAllendorf (Lumda)â€ (Kreis GieÃŸen, nÃ¤her an Marburg), â€œAllendorf (Eder)â€ (Kreis Frankenberg)
409	125	22	10	bl	Homberg	Alsfeld	Hessen	j	j	j	j	NA	detected			436750.539965283	5610274.60179601	detected		500049.97	5619900.37	false detected
415	125	23	14	co	Ehringshausen	Alsfeld	Hessen	j	j	j	j	NA	detected			999	999	not an unique name	prev. not unique	507986.44	5617170.75	not found
420	125	24	6	b	Zell	Alsfeld	Hessen	j	j	j	j	NA	multiple entires detected			999	999	multiple entires detected		513815.16	5619804.36	not found
481	125	32	9	cu	Allendorf	Gießen	Hessen	j	NA	NA	NA	NA	multiple entires detected			999	999	not an unique name	prev. not unique	999	999	there are at least â€œAllendorf a.d. Lahnâ€ (bei GieÃŸen), â€œAllendorf (Lumda)â€ (Kreis GieÃŸen, nÃ¤her an Marburg), â€œAllendorf (Eder)â€ (Kreis Frankenberg)
490	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
506	125	35	8	b	Altenhain	Schotten	Hessen	j	j	j	NA	NA	multiple entires detected			999	999	multiple entires detected		507260.03	5601067.63	corrupted
542	126	7	21	do	Nausis	Ziegenhain	Hessen-Nassau	j	j	j	NA	NA	multiple entires detected			999	999	multiple entires detected		525546.84	5632096.03	not found (probably the one south of neukirchen, but thats not in wenker)
553	126	11	23	c	Dorndorf	Eisenach	Thüringen	j	NA	NA	NA	NA	detected			429278.420891055	5595245.23349305	detected		576748.11	5632034.95	false detected
569	126	15	11	cu	Holzheim	Hersfeld	Hessen-Nassau	j	j	j	NA	NA	detected			999	999	not an unique name	prev. not unique	547192.54	5625801.76	not found, probably â€œHolzheim (Haunetal)â€
603	126	23	24	co	Zella	Eisenach	Thüringen	NA	NA	j	j	NA	detected			517934.2735815	5635944.39356702	detected		578312.84	5613953.47	false detected
674	138	3	12	ad	Baumbach	Unterwesterwaldkreis	Hessen-Nassau	j	NA	NA	NA	NA	detected			546869.42107104	5652761.89193469	detected		406844.15	5593138.41	false detected
719	138	16	7	ac	Seelbach	Unterlahnkreis	Hessen-Nassau	j	j	j	j	NA	detected			999	999	not an unique name	prev. not unique	419744.75	5573568.67	not found (prabably â€œSeelbach (Nassau)â€)
803	139	2	24	cr	Hausen	Friedberg	Hessen	NA	j	NA	NA	NA	multiple entires detected			999	999	not an unique name	prev. not unique	471593.73	5585637.05	corrupted
